# command_history: connectomestats sift2_results/10M/sift2_none/fbc_differences/files.txt tfnbs template/design_matrix.txt template/contrast_matrix_1.txt stats/10M/increases/tfnbs/sift2_none/ -errors ise -force  (version=3.0.3)
0,0,0,0,0.999,0,0,0.975,0,0,0,0,0,0,0.6604,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0.9958,0,0,0,0,0,0,0,0.9534,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148,0,0,0,0,0,0,0,0,0
0,0.8444,0,0.0716,0.5548,0.4444,0,0.0716,0,0,0,0.1852,0,0,0,0,0.5548,0,0.4444,0,0,0,0,0,0,0,0,0,0.4444,0,0.0148,0.909,0,0.999,0,0,0.9958,0.9998,0.9994,0,0.0026,0,0,0,0.0026,0.0716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1852,0,0.0026,0,0,0,0,0.1852,0,0,0,0.1852,0,0,0,0,0,0,0,0,0,0,0,0.0716,0,0
0,0,0,0,0.4444,0,0,0.8444,0,0.0716,0,0,0,0.9978,0.9846,0,0.9998,0,0.5548,0,0.0026,0,0.5548,0,0,0.5548,0,0,0.9998,0.0026,0,0.8444,0,0.9936,0,0,0,0.9998,0.9994,0.9998,0.9936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1852,0,0,0,0,0,0.0148,0,0,0,0,0,0,0,0,0,0.3186,0
0,0.0716,0,0,0.9998,0.9936,0,0.6604,0.3186,0,0,0,0,0.9936,0.9998,0,0,0,0,0,0.1852,0.0716,0.0716,0,0,0,0.0716,0,0.0026,0.0026,0,0.999,0,0,0,0,0,0,0,0.9998,0.9534,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0.0148,0,0.5548,0,0,0,0.0026,0,0,0,0.3186,0,0,0,0,0.1852,0,0.1852,0,0,0,0.1852,0,0.0148,0.0148,0,0,0.0026,0.0026,0,0
0.999,0.5548,0.4444,0.9998,0,0.9998,0.9998,0.9998,0.1852,0.9998,0.909,0.9998,0.3186,0.9846,0,0.0716,0.9958,0.9534,0.9846,0.9998,0.4444,0.0148,0.0716,0.909,0.6604,0.909,0.9978,0.9998,0.909,0.9534,0.8444,0.9994,0.9996,0.9936,0,0.9534,0.9846,0.0148,0,0.9998,0,0.0148,0.1852,0.7586,0,0.0148,0.4444,0,0,0,0.5548,0,0.9534,0,0.3186,0.1852,0.6604,0.7586,0.1852,0.0148,0.9978,0.7586,0.0716,0.0716,0.0716,0,0,0,0.6604,0.4444,0.0716,0.3186,0.3186,0.7586,0,0.5548,0.3186,0.0716,0.6604,0,0,0.1852,0.909,0,0.3186
0,0.4444,0,0.9936,0.9998,0,0,0.9936,0.3186,0.9994,0.0716,0,0,0.9998,0.9998,0,0.909,0.6604,0.4444,0.909,0,0,0.9534,0.0026,0,0.7586,0.9534,0,0.8444,0.975,0.4444,0.4444,0,0,0,0,0,0,0,0.9978,0.1852,0,0,0,0,0,0,0,0,0.0026,0,0,0.0716,0,0,0.0716,0,0.7586,0.0026,0,0.3186,0,0,0,0,0,0,0,0,0,0,0,0.0148,0,0,0,0.0716,0,0,0.4444,0,0,0,0,0
0,0,0,0,0.9998,0,0,0.999,0,0,0,0,0,0.7586,0.9998,0.7586,0,0,0,0,0,0,0.0148,0,0,0,0,0.6604,0,0,0,0.9958,0,0,0,0,0,0,0,0.9998,0.9994,0,0,0.0148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1852,0,0,0,0,0,0,0,0.0148,0
0.975,0.0716,0.8444,0.6604,0.9998,0.9936,0.999,0.1852,0.0148,0.975,0,0,0,0.7586,0.9998,0.0026,0,0.6604,0.5548,0,0.0148,0.0716,0.975,0.4444,0,0,0.909,0.9998,0.909,0.0026,0.0148,0.8444,0.1852,0,0,0,0,0,0,0.9998,0.0026,0,0.0026,0,0,0,0.9936,0,0,0,0.0148,0,0.975,0,0.8444,0,0.9846,0.0716,0.6604,0,0.9846,0,0,0.3186,0.0026,0,0,0,0.0026,0,0.0716,0.1852,0,0,0.0026,0.3186,0.0716,0,0,0,0,0.1852,0,0.3186,0
0,0,0,0.3186,0.1852,0.3186,0,0.0148,0,0.8444,0,0.0148,0,0.0148,0,0.0716,0,0,0,0,0.0716,0,0,0,0,0,0,0,0.0148,0,0,0.909,0,0,0,0,0,0,0,0.999,0.9534,0,0,0,0,0.0716,0.0148,0,0,0.0026,0,0,0,0,0,0,0,0,0.7586,0,0.6604,0,0.4444,0,0,0.0148,0,0.6604,0,0,0,0.0148,0,0,0.0148,0.0148,0,0,0,0,0,0,0,0,0
0,0,0.0716,0,0.9998,0.9994,0,0.975,0.8444,0,0,0,0,0.975,0.9998,0,0,0,0,0,0,0,0,0,0,0,0.4444,0,0,0,0,0.9998,0,0,0,0,0,0,0,0.9998,0.5548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0.0716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
