# command_history: connectomestats sift2_results/10M/sift2_differential/fbc_differences/files.txt tfnbs template/design_matrix.txt template/contrast_matrix_-1.txt stats/10M/decreases/tfnbs/sift2_differential/ -errors ise -force  (version=3.0.3)
0.5498,0,0.8092,0.7718,0.7894,0,0,0,0,0.6442,0,0,0,0.5574,0.8464,0,0,0,0,0,0.809,0.7508,0.7398,0,0,0,0,0,0,0,0.9418,0,0,0.7148,0.9088,0.7178,0.8718,0.5584,0.8832,0,0,0,0.8268,0.5874,0.7082,0,0,0,0,0,0.8196,0,0.9208,0,0,0.8078,0,0,0,0.9816,0.9674,0,0,0,0,0,0,0,0.9898,0.6242,0,0.9876,0.6098,0.9482,0,0,0.8978,0.6724,0,0,0,0.9974,0.815,0,0.6794
0,0.8918,0.8762,0.9402,0,0.6384,0.5508,0.8966,0.9836,0,0.98,0.9634,0,0.9986,0.5494,0,0.9498,0.8542,0.9576,0,0.9672,0,0.8532,0.9158,0,0.8468,0.9028,0.9248,0.5956,0.9554,0.9244,0.553,0,0.865,0.8184,0.8758,0.996,0.9984,0.9994,0.6028,0.7494,0,0,0,0,0,0,0,0.9672,0,0,0,0.999,0.9366,0.6826,0,0.9932,0,0,0.9926,0.6844,0.6836,0,0.582,0,0,0.6082,0,0,0,0,0,0,0,0.5702,0,0,0,0,0,0.8126,0.6356,0,0,0
0.8092,0.8762,0,0,0.5946,0,0,0,0.9588,0.7614,0.9992,0,0,0,0,0,0.9538,0.8592,0.9044,0.673,0,0.8872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9774,0.9916,0.9858,0,0,0,0,0.9178,0.6446,0.9614,0.9988,0.7234,0.7822,0,0,0,0.9986,0,0.9312,0,0,0,0,0,0.971,0,0,0,0,0,0.9802,0.9992,0.9998,0,0.8732,0,0.9866,0,0.688,0.9996,0,0,0,0,0.8702,0.7098,0,0.9994,0,0
0.7718,0.9402,0,0.5876,0,0,0.6394,0,0.745,0,0.6458,0,0.7488,0,0,0.8908,0.9552,0,0.9602,0.711,0.9552,0.9896,0.9828,0,0,0,0,0.64,0,0.7498,0,0,0.8236,0,0,0.816,0,0,0.646,0,0,0.6858,0,0.818,0,0,0.7098,0.6972,0.7028,0,0.9254,0,0.6998,0.8608,0.8568,0,0.9588,0.93,0.743,0.7798,0.9174,0.8328,0,0.9942,0,0,0,0,0.9946,0,0.9588,0.9996,0.7778,0.9482,0,0,0,0.7318,0,0,0,0.773,0.9946,0,0.7172
0.7894,0,0.5946,0,0.936,0,0.5996,0,0,0,0.5898,0,0.6278,0.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898,0.887,0.745,0,0.7728,0.5704,0.7992,0.654,0,0,0.9804,0.8412,0,0.917,0.8904,0,0,0,0.6898,0,0.576,0.9196,0,0,0,0.8858,0,0,0.8614,0.9136,0,0.551,0.6658,0,0,0,0,0.9196,0,0.9942,0,0.5394,0,0,0.9114,0.7048,0.7176,0.7182,0,0,0,0.9378,0.9638,0,0
0,0.6384,0,0,0,0,0,0,0.5964,0,0,0,0,0,0,0.684,0,0.7444,0,0,0,0,0.5554,0,0.7224,0,0,0,0,0,0.5444,0,0,0.5516,0,0,0,0,0,0,0,0,0,0,0.8308,0,0,0.9692,0,0,0,0.9758,0,0.7372,0.6896,0,0.9,0.8504,0.6886,0.8464,0,0,0.9516,0,0,0,0,0,0.819,0.8188,0,0.6038,0,0.8934,0,0.6656,0,0.5672,0.8988,0,0.7106,0.7112,0.7554,0,0
0,0.5508,0,0.6394,0.5996,0,0,0,0,0,0,0,0,0,0,0,0.5966,0,0,0,0,0.773,0,0,0.6152,0,0,0,0,0,0,0,0.853,0,0,0,0,0,0,0,0,0.564,0.7784,0,0.6892,0,0,0,0,0,0,0,0.9338,0,0.5982,0.6438,0.853,0,0.8262,0,0.9934,0,0.7214,0,0,0,0,0,0.9958,0,0,0,0,0.9482,0,0,0.6836,0.6794,0.7208,0,0,0,0,0.9652,0
0,0.8966,0,0,0,0,0,0,0.8512,0,0,0,0.6786,0,0,0.5476,0.7416,0,0,0,0,0.872,0.7646,0,0.8754,0,0,0,0,0,0,0.7172,0,0,0.8674,0,0.9306,0.8006,0,0,0,0,0.8802,0,0.8506,0,0,0.9996,0,0.9652,0.9508,0,0.8266,0,0,0,0,0.7056,0,0.5596,0.8894,0,0,0,0,0,0,0,0.9778,0.9378,0,0,0,0.8074,0,0,0,0,0,0,0,0.7302,0.9986,0.9702,0
0,0.9836,0.9588,0.745,0,0.5964,0,0.8512,0.916,0.7976,0.9972,0,0.9384,0.75,0,0.711,0.6594,0,0.8844,0.774,0.7966,0.8994,0.6728,0.8832,0,0.772,0.5602,0.624,0.7818,0.6772,0,0,0.9494,0.9904,0.88,0.9462,0.9988,0.9786,0.9012,0,0.951,0.9836,0.7154,0.9224,0.6886,0,0,0,0.8034,0.6542,0.8894,0,0.9994,0,0.6332,0.728,0.904,0.6812,0.861,0.6242,0.7124,0.8338,0,0.7238,0,0,0.9466,0.674,0.7104,0.9898,0.8752,0.5666,0,0.9516,0.668,0,0.9824,0,0,0.9466,0,0,0.9058,0,0.9038
0.6442,0,0.7614,0,0,0,0,0,0.7976,0,0,0,0,0,0,0,0,0,0,0,0,0.9584,0.6432,0,0.9944,0,0,0,0,0.5614,0,0,0.704,0,0.5656,0,0,0,0,0,0,0,0,0.9126,0,0,0.6708,0,0,0,0,0,0.9382,0,0.8938,0.7276,0,0.8808,0,0,0.5614,0,0,0.6456,0,0,0,0,0.9918,0,0.946,0,0.7728,0.7196,0,0,0,0,0.7412,0,0,0.859,0,0.5614,0
