Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,408.061,89.0851,497.146,19998,458,0,0,0,0,0,0,0,0,0,0,0,
1,381.59973917527731,97.516029547426356,479.11576872270365,19998,458,-0.57188878312102043,-0.025424675163332324,0.029641028260711109,0.0053522605294284353,0.061967442394680612,-1.3599648802453976,-0.11158331939853536,0.37165679201567864,0.19384311799505841,1.410838556767068,3876.6685167831729,
2,378.51256947621096,98.928022770568191,477.44059224677915,19998,458,-0.2285363951211429,-0.0001863548770482631,0.010329891836675697,0.00043362583815151996,0.13375966404952297,-1.2675566919346266,-0.11176967427558386,0.37359284811270316,0.19644353863175595,1.415027502557221,3928.6743290964873,
3,377.45065229688555,99.400589077555765,476.85124137444132,19998,458,-0.13270265681572888,-0.00014130535712706099,0.005708994489970684,0.00011287062057640605,0.071455141734904262,-1.2279549705717518,-0.11191097963271077,0.37444610588835242,0.19709003026896618,1.4176121946542604,3941.6035153490548,
4,376.76822540643411,99.763287993215286,476.53151339964938,19998,458,-0.098879080521906276,-0.00024931609328997635,0.0039199302869088477,4.9689887565213571e-05,0.035883959798207868,-1.2129109105834446,-0.11216029572600074,0.37515705303196628,0.19762489542630313,1.4193709889186186,3952.3002836306364,
5,376.28362495607752,100.04812104079795,476.3317459968755,19998,458,-0.076165567928097477,-0.00020478831136558061,0.0029256635725581153,2.680447234783179e-05,0.028354062048700297,-1.2050248157958507,-0.11236508403736695,0.37572307649129549,0.19804332573623371,1.4206730182799012,3960.668471398938,
6,375.91115778162413,100.28575424442587,476.19691202604997,19998,458,-0.056950592104514405,-0.00017764260334837291,0.0022823473555075996,1.6040208401136706e-05,0.024281455710713992,-1.2004147378733094,-0.11254272664071518,0.37620605248861422,0.19839547208807679,1.4216693296318454,3967.7110462894475,
7,375.61309997249867,100.4880524475053,476.10115242000398,19998,458,-0.047290551491798775,-0.00015409165937734247,0.0018321167488159931,1.0319316607330975e-05,0.020978253468481641,-1.1974309088175767,-0.11269681830009275,0.37662469319672848,0.19869650743833936,1.422441758758243,3973.7314522593488,
8,375.36809532330392,100.66257248323517,476.0306678065391,19998,458,-0.041575083071132959,-0.00013484229614091524,0.0015021937413796126,7.0145425225138858e-06,0.018256068761229094,-1.1953524513077327,-0.11283166059623337,0.37698789366711294,0.19895681972064941,1.4230433821715547,3978.9374375932675,
9,375.16291555733449,100.81451339830379,475.97742895563829,19998,458,-0.038466107080879663,-0.00011881803324062922,0.0012528313122472411,4.9735902721923921e-06,0.015982486847082689,-1.1938259113143552,-0.11295047862947422,0.37730270046780401,0.19918376580468455,1.4235121664651731,3983.4761323278863,
10,374.98871531112474,100.94772639295675,475.93644170408152,19998,458,-0.035172298848441232,-0.00010529539104676423,0.0010590658796782245,3.640361864965726e-06,0.014061410321945775,-1.1926615047159312,-0.11305577402052075,0.37758655064421481,0.1993829493284042,1.4238766645369252,3987.4596036187554,
11,374.83925230456617,101.06517718917783,475.90442949374403,19998,458,-0.031760148027766541,-9.3734298273128155e-05,0.00090554891655992426,2.7282339247071495e-06,0.012422222128224254,-1.1917483406198763,-0.1131495083187939,0.3778418162521649,0.19955874849207034,1.4241588995871344,3990.9754110929148,
12,374.70993777041036,101.16920677434739,475.87914454475776,19998,458,-0.028313072895782439,-8.3752394303390198e-05,0.00078142331120824836,2.0812309278875577e-06,0.011012008699153,-1.1910169922110743,-0.11323326071309749,0.37807001517752487,0.19971464442949061,1.4243761021807932,3994.0931739453827,
13,374.59729224092752,101.26169815074094,475.85899039166844,19998,458,-0.024920147355831899,-7.5058212577214226e-05,0.0006794671606035707,1.609443979832338e-06,0.0097904309784792223,-1.1904214164670373,-0.11330831892567396,0.3782766272062737,0.19985343773205699,1.4245418856188887,3996.8689012034079,
