# command_history: connectomestats sift2_results/10M/sift2_cross/fbc_differences/files.txt tfnbs template/design_matrix.txt template/contrast_matrix_-1.txt stats/10M/decreases/tfnbs/sift2_cross/ -errors ise -force  (version=3.0.3)
0.5776,0.5782,0.647,0.979,0,0.9572,0.786,0.8384,0.8046,0,0.9934,0.839,0.5666,0,0.8068,0,0.8492,0.7142,0.6784,0,0.9624,0,0.7904,0.8706,0,0,0.8854,0.8554,0.6258,0.8098,0,0.7866,0.8,0.807,0,0.9128,0.687,0.745,0.881,0.8724,0.921,0.8708,0.57,0,0,0,0.867,0.9994,0.8092,0,0,0,0.884,0,0,0.9486,0.9996,0,0,0,0.6496,0.7398,0.9994,0.8556,0,0,0,0,0,0,0.8624,0.9996,0.8626,0,0,0,0.8354,0.84,0.6328,0,0,0.9892,0.8448,0,0.8586
0.5782,0.9842,0.839,0,0.7506,0.9552,0,0.8062,0.9764,0,0.808,0.6546,0.7008,0,0,0.9276,0.8806,0.6118,0,0,0.806,0,0.7216,0,0,0.62,0.9304,0.5748,0,0.896,0,0.7428,0.7848,0,0,0.5852,0.789,0.6816,0,0,0.8982,0,0,0,0.7752,0,0.8564,0.6488,0.574,0.9752,0,0,0,0.9996,0.9988,0.6746,0.7238,0,0,0,0.8632,0,0.8876,0,0,0,0.7468,0,0.9998,0,0,0.6476,0,0,0,0,0,0,0,0,0,0,0,0.8162,0.676
0.647,0.839,0,0.9728,0.8972,0.684,0,0.7188,0.992,0,0.9842,0,0,0,0.911,0,0.9176,0.9156,0.5676,0.6902,0.8976,0.9672,0,0.8696,0.991,0,0.811,0.7416,0.6176,0.7188,0.5556,0.6774,0.9966,0,0,0.9746,0.9828,0,0,0,0,0.9796,0.8818,0,0.9968,0.6032,0.8716,0.6528,0,0,0,0.65,0,0,0.7524,0.9994,0,0.9548,0,0.8586,0,0,0.9996,0.9986,0,0.6158,0.9152,0,0,0,0.8836,0,0,0.6712,0,0.9286,0,0.686,0,0.6372,0,0,0,0,0.6112
0.979,0,0.9728,0,0,0.876,0.6076,0.785,0.9492,0,0.6088,0.9666,0.7524,0.8346,0.6642,0.7752,0.906,0,0,0,0.9962,0.9578,0.914,0.7796,0,0.9998,0.7976,0.9912,0.9538,0.8614,0,0,0.7512,0.9886,0,0.994,0,0,0.8048,0,0.983,0.9402,0,0.7762,0.769,0,0,0.9424,0.5718,0,0,0,0.833,0.7778,0.8808,0,0.9128,0.8564,0.573,0,0.9456,0,0.998,0.9918,0.7114,0,0,0,0,0.9968,0.5876,0.6116,0,0,0,0.6016,0,0.9582,0.7536,0,0,0.7784,0.9862,0.6244,0.873
0,0.7506,0.8972,0,0.8476,0.7176,0.5686,0.6774,0,0,0.9528,0,0,0.847,0,0.8356,0.9012,0.9478,0.8546,0,0.6142,0,0.653,0,0.9964,0.7878,0.8632,0,0,0.823,0.9028,0.7806,0,0.7372,0,0.9514,0.954,0.8638,0.7992,0.7186,0.943,0.8892,0,0.6094,0.9716,0.7836,0,0.8468,0,0,0.8282,0.9994,0.8004,0,0.7096,0.7842,0,0.7542,0.5708,0,0.9222,0.9368,0.6484,0.9932,0.8346,0,0,0,0,0.8954,0,0.9628,0.6548,0.581,0,0.6434,0.8132,0.8556,0.854,0.997,0,0.9996,0,0.7852,0
0.9572,0.9552,0.684,0.876,0.7176,0,0.8766,0,0.956,0,0.6802,0.917,0,0.9984,0.52,0,0.9168,0.612,0.7592,0.5752,0.9612,0.6562,0.7762,0.9334,0.841,0.7488,0.8834,0.967,0.7262,0.9824,0,0,0,0.991,0.8124,0.8848,0.9738,0.623,0.7898,0,0.9072,0.6462,0.7312,0,0.7108,0.6826,0,0,0,0.8672,0.7224,0,0,0.7588,0.62,0,0.6484,0.9684,0,0,0.8788,0.8402,0,0.9742,0,0,0,0,0,0,0.5626,0,0.8146,0.9968,0,0.8466,0.5996,0,0.8806,0,0,0.9322,0.6982,0,0.999
0.786,0,0,0.6076,0.5686,0.8766,0.5746,0,0.7166,0,0,0.5726,0,0.573,0.6204,0,0,0,0,0,0.9728,0.6408,0,0.9922,0,0.6714,0.7004,0.8892,0,0,0,0,0,0,0,0,0,0,0,0.6184,0.8798,0,0,0.6988,0,0,0,0,0.714,0.9562,0,0,0,0.939,0.5526,0.9562,0.864,0.6924,0,0,0.994,0.8526,0,0,0,0,0,0,0.6596,0,0,0.7976,0.5758,0.8124,0,0,0.6856,0.9942,0.7922,0,0,0,0,0,0
0.8384,0.8062,0.7188,0.785,0.6774,0,0,0,0,0,0.6526,0,0,0.8568,0.6172,0,0.8698,0,0,0,0.9974,0.8584,0.8354,0,0,0.6448,0.8084,0,0.9558,0.9404,0,0,0,0,0.7822,0,0.9704,0.7664,0,0,0.9464,0,0,0,0,0.691,0,0.9182,0.752,0.9994,0,0,0,0,0,0,0.7572,0,0,0.6792,0.5762,0.9368,0,0.7018,0.6592,0,0.9996,0,0,0,0.7744,0.7538,0,0.7664,0,0.7792,0,0,0.9998,0.9994,0,0,0,0.7722,0.919
0.8046,0.9764,0.992,0.9492,0,0.956,0.7166,0,0.977,0.645,0.9882,0.749,0,0,0.5776,0.8754,0.999,0.8326,0.9316,0.9254,0.9984,0.6502,0.9958,0.8606,0,0.939,0.9968,0.9182,0,0.9638,0,0,0.7022,0.8848,0,0.9964,0.998,0.6162,0.8448,0.9178,0.989,0,0.749,0.6374,0,0.606,0.8952,0,0.8316,0,0.6864,0.9328,0.7188,0.717,0.924,0.9272,0.7152,0.7786,0,0,0.833,0,0.6422,0.9472,0.65,0.881,0.9982,0,0.969,0.9868,0,0.9472,0.8114,0.6582,0.8976,0,0.826,0,0.6476,0,0,0,0.6838,0.7394,0.8178
0,0,0,0,0,0,0,0,0.645,0,0,0,0,0,0.5202,0,0,0,0,0,0.8322,0.7172,0,0.6476,0.6388,0,0.575,0.918,0,0,0,0,0,0,0,0,0,0,0,0,0.916,0.9432,0,0,0.663,0.8986,0,0.9014,0,0.9982,0,0,0,0.7536,0,0,0.991,0.9012,0.8766,0,0.9118,0.7932,0,0.9898,0,0,0,0,0,0,0.8304,0,0,0.9998,0,0,0,0.83,0.897,0,0,0.6852,0,0,0
